acquisition_campaignID,NPU_Count,First_GMV,Avg_First_Amount,Median_First_Amount,Total_First_Discount,Avg_First_Discount,Dominant_First_Category,Dominant_Promotion_Type,First_month_min,First_month_max,First_Subsidy_Rate,Repeat_Rate,D7_Retention,D30_Retention,D60_Retention,Avg_Post_Tx,Avg_Post_GMV,Avg_Post_Discount,Post_Non_Promo_Tx_Share,Avg_Post_Category_Count,Avg_Post_Merchant_Count
7054,60,14391450,239857.5,215000.0,900000,15000.0,Unknown_Group,voucher,2022-06-01 12:17:33.758,2022-08-18 16:16:14.153,0.0625371314217816,0.6333333333333333,0.1833333333333333,0.4166666666666667,0.55,3.716666666666667,628722.0833333334,22233.33333333333,0.7533632286995515,1.1666666666666667,1.5166666666666666
7059,2,3593840,1796920.0,1796920.0,300000,150000.0,Mobility_Service,voucher,2022-06-27 12:20:25.973,2022-08-05 18:12:16.144,0.0834761703359081,1.0,0.5,1.0,1.0,3.0,1584604.5,35000.0,0.5,2.0,2.0
7060,3,12492240,4164080.0,4534000.0,600000,200000.0,Mobility_Service,voucher,2022-06-22 21:34:50.029,2022-07-16 10:27:21.076,0.0480298169103379,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,1128000.0,98333.33333333331,0.0,1.3333333333333333,1.6666666666666667
7062,2,816000,408000.0,408000.0,40000,20000.0,Goods_Transaction,voucher,2022-08-08 13:01:29.057,2022-08-15 10:24:22.396,0.0490196078431372,1.0,0.5,0.5,0.5,7.0,2836775.5,42500.0,0.7142857142857143,1.5,2.5
7066,1,69000,69000.0,69000.0,10000,10000.0,Interactive_Service,voucher,2022-06-08 20:36:01.184,2022-06-08 20:36:01.184,0.144927536231884,1.0,1.0,1.0,1.0,1.0,22000.0,0.0,1.0,1.0,1.0
7067,1,100000,100000.0,100000.0,20000,20000.0,Interactive_Service,voucher,2022-06-18 19:16:37.033,2022-06-18 19:16:37.033,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7068,4,516000,129000.0,99000.0,120000,30000.0,Interactive_Service,voucher,2022-06-21 12:27:25.834,2022-07-22 19:42:43.627,0.2325581395348837,1.0,0.25,0.5,0.5,8.5,393824.25,24500.0,0.6176470588235294,2.0,3.5
7069,1,140000,140000.0,140000.0,15000,15000.0,Financial_Service,voucher,2022-07-13 20:41:00.177,2022-07-13 20:41:00.177,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,110000.0,0.0,1.0,1.0,1.0
7075,3,507000,169000.0,169000.0,60000,20000.0,Daily_Consumption,voucher,2022-06-10 18:39:22.044,2022-06-20 19:07:20.502,0.1183431952662721,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,6.333333333333333,457694.0,78666.66666666667,0.3684210526315789,1.3333333333333333,2.333333333333333
7077,2,470000,235000.0,235000.0,40000,20000.0,Daily_Consumption,voucher,2022-06-01 11:53:42.116,2022-06-12 11:44:56.169,0.0851063829787234,0.5,0.0,0.0,0.0,1.0,600500.0,495.0,0.5,1.0,1.0
7080,1,101000,101000.0,101000.0,15000,15000.0,Daily_Consumption,voucher,2022-08-13 19:54:04.546,2022-08-13 19:54:04.546,0.1485148514851485,1.0,0.0,0.0,0.0,1.0,38200.0,10000.0,0.0,1.0,1.0
7289,543,552000,1016.5745856353592,1000.0,537580,990.0184162062616,Goods_Transaction,voucher,2022-06-01 02:23:25.129,2022-10-07 18:46:59.205,0.9738768115942028,0.5911602209944752,0.3186003683241252,0.4898710865561694,0.5340699815837937,4.858195211786372,319352.8968692449,9331.252302025783,0.7657316148597423,1.003683241252302,1.5267034990791897
7421,1355,78239202,57741.10848708487,20000.0,13550000,10000.0,Access_Service,voucher,2022-06-01 00:02:22.282,2022-09-14 21:42:38.165,0.1731868379741398,0.5911439114391144,0.2531365313653136,0.444280442804428,0.5151291512915129,9.12619926199262,1146210.6974169742,15502.311439114392,0.8541969917515769,0.9461254612546124,1.422878228782288
7422,536,6000000,11194.029850746268,10000.0,2680000,5000.0,Access_Service,voucher,2022-06-01 08:18:21.449,2022-09-08 08:48:37.469,0.4466666666666666,0.458955223880597,0.1940298507462686,0.3208955223880597,0.3861940298507462,8.345149253731343,489585.25373134325,13758.371268656716,0.8694388553543483,0.7910447761194029,1.2220149253731345
7423,44,2177880,49497.27272727273,23950.0,220000,5000.0,Access_Service,voucher,2022-06-01 11:33:00.208,2022-09-03 17:43:07.904,0.1010156666115672,0.8181818181818182,0.3636363636363636,0.6363636363636364,0.75,9.840909090909092,520035.5227272727,14885.227272727272,0.8314087759815243,1.25,1.9772727272727275
7424,434,202348233,466240.168202765,298441.5,15190000,35000.0,Obligation_Payment,voucher,2022-06-01 17:18:08.790,2022-08-26 09:57:26.529,0.0750686070977452,0.5875576036866359,0.1751152073732718,0.4308755760368664,0.5161290322580645,5.414746543778802,1778044.6221198156,15046.912442396311,0.7625531914893617,1.076036866359447,1.4838709677419355
7425,76,10119799,133155.25,88667.0,1520000,20000.0,Obligation_Payment,voucher,2022-06-04 09:14:57.750,2022-08-18 15:29:21.144,0.1502006116919911,0.6578947368421053,0.3289473684210526,0.5263157894736842,0.5921052631578947,6.052631578947368,1486820.8421052631,30513.157894736843,0.6891304347826087,1.381578947368421,2.3157894736842106
7426,26,5774945,222113.2692307692,184591.0,520000,20000.0,Obligation_Payment,voucher,2022-06-03 19:54:54.456,2022-08-15 15:37:19.697,0.0900441476066005,0.5769230769230769,0.3076923076923077,0.5,0.5769230769230769,5.230769230769231,1177728.076923077,20576.92307692308,0.7352941176470589,1.0384615384615383,1.5769230769230769
7427,48,91826530,1913052.7083333333,1518890.0,960000,20000.0,Obligation_Payment,voucher,2022-06-03 16:59:38.010,2022-08-23 08:26:33.747,0.010454495013587,0.75,0.2291666666666666,0.5833333333333334,0.7291666666666666,11.25,7816953.395833333,19350.625,0.8703703703703703,1.2916666666666667,1.9375
7428,12,5429000,452416.6666666667,183500.0,360000,30000.0,Obligation_Payment,voucher,2022-06-04 15:50:36.329,2022-07-20 07:47:00.766,0.0663105544299134,0.1666666666666666,0.0,0.0833333333333333,0.1666666666666666,0.8333333333333334,129006.83333333331,2083.333333333333,0.7,0.25,0.25
7429,2,2193500,1096750.0,1096750.0,50000,25000.0,Obligation_Payment,voucher,2022-06-02 14:03:41.302,2022-08-04 09:38:23.282,0.0227946204695691,1.0,0.0,0.5,1.0,10.0,6169685.5,32500.0,0.85,1.5,2.0
7430,72,7552990,104902.63888888888,71875.0,1080000,15000.0,OnDemand_Service,voucher,2022-06-01 12:15:58.475,2022-08-17 19:50:50.721,0.1429897298950481,0.8888888888888888,0.5555555555555556,0.7083333333333334,0.8055555555555556,10.180555555555555,1273926.0555555555,21027.777777777777,0.8635743519781719,1.75,2.138888888888889
7431,25,6603526,264141.04,217000.0,250000,10000.0,Goods_Transaction,voucher,2022-06-02 07:16:01.972,2022-08-12 14:49:08.464,0.0378585622287244,0.64,0.28,0.56,0.56,4.16,462452.68,17742.4,0.7403846153846154,1.2,1.52
7432,1,429000,429000.0,429000.0,20000,20000.0,Goods_Transaction,voucher,2022-07-21 20:13:24.582,2022-07-21 20:13:24.582,0.0466200466200466,1.0,1.0,1.0,1.0,17.0,2447756.0,130000.0,0.4705882352941176,3.0,7.0
7433,51,9669630,189600.58823529413,180000.0,1530000,30000.0,Unknown_Group,voucher,2022-06-01 17:26:28.171,2022-08-04 17:19:32.117,0.1582273571998101,0.6862745098039216,0.3333333333333333,0.5098039215686274,0.5686274509803921,4.470588235294118,920036.5490196078,44646.64705882353,0.5833333333333334,1.6274509803921569,2.196078431372549
7434,3,207000,69000.0,69000.0,90000,30000.0,Interactive_Service,voucher,2022-06-20 22:59:18.939,2022-07-24 20:43:15.116,0.4347826086956521,1.0,0.6666666666666666,1.0,1.0,3.6666666666666665,1180868.3333333333,22666.666666666668,0.8181818181818182,1.6666666666666667,2.333333333333333
7436,5,7441160,1488232.0,1484440.0,500000,100000.0,Mobility_Service,voucher,2022-06-04 16:15:20.487,2022-08-14 09:09:12.231,0.0671938246187422,0.4,0.0,0.4,0.4,6.2,110930.0,3000.0,0.935483870967742,0.4,0.6
7437,1,1981240,1981240.0,1981240.0,150000,150000.0,Mobility_Service,voucher,2022-06-22 21:29:37.226,2022-06-22 21:29:37.226,0.075710161313117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7438,10,33018760,3301876.0,2584140.0,2000000,200000.0,Mobility_Service,voucher,2022-06-02 17:23:16.615,2022-08-21 10:22:05.248,0.0605716265541165,0.8,0.3,0.5,0.5,20.5,3025770.8,39800.0,0.9121951219512195,1.4,2.3
7439,3,226000,75333.33333333333,52000.0,30000,10000.0,Goods_Transaction,voucher,2022-06-01 17:33:49.652,2022-07-11 22:57:37.453,0.1327433628318584,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,5.0,189373.3333333333,3333.333333333333,0.9333333333333332,2.0,2.333333333333333
7440,1,67000,67000.0,67000.0,10000,10000.0,Goods_Transaction,voucher,2022-08-05 19:48:49.332,2022-08-05 19:48:49.332,0.1492537313432835,1.0,1.0,1.0,1.0,6.0,277473.0,60000.0,0.1666666666666666,2.0,3.0
7441,5,2748890,549778.0,408690.0,100000,20000.0,Goods_Transaction,voucher,2022-07-02 09:59:27.721,2022-07-30 12:23:08.781,0.0363783199764268,1.0,0.4,0.6,0.8,14.4,4893705.6,106594.0,0.4305555555555556,2.8,5.4
7444,1,300000,300000.0,300000.0,20000,20000.0,Goods_Transaction,voucher,2022-08-02 23:25:01.840,2022-08-02 23:25:01.840,0.0666666666666666,1.0,1.0,1.0,1.0,62.0,15396009.0,529000.0,0.4193548387096774,4.0,14.0
7447,2,163400,81700.0,81700.0,40000,20000.0,Daily_Consumption,voucher,2022-06-09 10:41:37.139,2022-08-01 14:37:06.882,0.244798041615667,1.0,0.5,0.5,0.5,2.5,162000.0,15000.0,0.6,2.0,2.0
7450,1,112000,112000.0,112000.0,30000,30000.0,Daily_Consumption,voucher,2022-07-23 18:52:49.245,2022-07-23 18:52:49.245,0.2678571428571428,1.0,1.0,1.0,1.0,31.0,8177100.0,208980.0,0.4838709677419355,4.0,6.0
7559,2,40000,20000.0,20000.0,20000,10000.0,Access_Service,voucher,2022-06-01 10:58:35.171,2022-06-01 19:23:27.284,0.5,1.0,1.0,1.0,1.0,17.5,1043000.0,14499.5,0.8857142857142857,2.0,4.0
7623,809,64792951,80090.17428924599,50000.0,8090000,10000.0,Access_Service,voucher,2022-06-01 02:44:39.394,2022-09-17 19:20:59.677,0.1248592613106941,0.7737948084054388,0.3547589616810878,0.6044499381953028,0.6996291718170581,12.99876390605686,1916119.3819530285,14664.064276885045,0.9136553822746292,1.3028430160692213,1.9369592088998764
7624,357,238863333,669084.9663865546,426410.0,8925000,25000.0,Obligation_Payment,voucher,2022-06-01 21:44:52.807,2022-09-11 08:45:25.890,0.0373644622969403,0.8571428571428571,0.1932773109243697,0.6050420168067226,0.7478991596638656,7.988795518207283,2832730.168067227,15827.675070028012,0.8316970546984572,1.4341736694677871,1.9803921568627447
7625,8,10602000,1325250.0,1150000.0,200000,25000.0,Obligation_Payment,voucher,2022-06-03 20:34:37.324,2022-08-09 18:29:26.170,0.0188643652141105,0.75,0.25,0.75,0.75,14.625,7921412.0,24125.0,0.8717948717948718,1.5,2.625
7650,154,1790000,11623.376623376624,10000.0,1386000,9000.0,Access_Service,voucher,2022-06-01 02:44:04.271,2022-07-03 08:55:52.229,0.7743016759776536,0.5909090909090909,0.2272727272727272,0.3896103896103896,0.4805194805194805,6.097402597402597,226806.37662337665,12327.642857142857,0.7550585729499467,0.948051948051948,1.448051948051948
7817,631,13100000,20760.69730586371,20000.0,6310000,10000.0,Access_Service,voucher,2022-06-01 21:18:57.578,2022-12-31 18:32:35.195,0.4816793893129771,0.3866877971473851,0.2019704433497537,0.3120567375886525,0.3510848126232742,2.324881141045959,209017.4817749604,6620.7115689381935,0.7416496250852079,0.6006339144215531,0.901743264659271
7818,20,268950,13447.5,10000.0,100000,5000.0,Access_Service,voucher,2022-08-07 12:12:31.882,2022-12-31 19:32:08.700,0.3718163227365681,0.35,0.2105263157894736,0.3125,0.2857142857142857,1.1,31050.0,1500.0,0.8181818181818182,0.45,0.55
7819,4,608096,152024.0,160813.0,80000,20000.0,Obligation_Payment,voucher,2022-06-10 19:29:16.530,2022-12-12 20:21:39.794,0.131558175024996,0.75,0.5,1.0,1.0,4.0,373197.5,33750.0,0.3125,2.0,3.25
7820,4,332910,83227.5,78344.5,80000,20000.0,Obligation_Payment,voucher,2022-08-01 09:40:51.488,2022-10-18 21:16:02.905,0.240305187588237,1.0,0.5,1.0,1.0,14.25,8968924.0,75000.0,0.6842105263157895,2.5,4.0
7821,1,258500,258500.0,258500.0,15000,15000.0,Obligation_Payment,voucher,2022-08-18 15:20:47.342,2022-08-18 15:20:47.342,0.058027079303675,1.0,1.0,1.0,1.0,42.0,1049555.0,10000.0,0.9761904761904762,2.0,2.0
7824,3,190000,63333.333333333336,56000.0,60000,20000.0,OnDemand_Service,voucher,2022-07-19 20:25:25.723,2022-08-25 20:00:52.372,0.3157894736842105,1.0,0.6666666666666666,1.0,1.0,13.0,1195810.0,13333.333333333334,0.9230769230769232,1.6666666666666667,2.333333333333333
7825,5,631240,126248.0,100000.0,75000,15000.0,Goods_Transaction,voucher,2022-06-14 13:02:11.270,2022-10-09 21:38:15.174,0.1188137633863506,0.2,0.0,0.0,0.2,0.2,2000.0,0.0,1.0,0.2,0.2
7826,3,727074,242358.0,222343.0,45000,15000.0,Goods_Transaction,voucher,2022-10-12 15:26:51.145,2022-11-11 16:45:04.543,0.0618919119649444,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,5.666666666666667,1075958.0,11666.666666666666,0.8235294117647058,1.3333333333333333,2.0
7828,1,999000,999000.0,999000.0,30000,30000.0,Interactive_Service,voucher,2022-06-04 23:17:53.841,2022-06-04 23:17:53.841,0.03003003003003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7834,1,442900,442900.0,442900.0,30000,30000.0,Goods_Transaction,voucher,2022-11-17 19:47:03.782,2022-11-17 19:47:03.782,0.0677353804470535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
