acquisition_campaignID,NPU_Count,First_GMV,Avg_First_Amount,Median_First_Amount,Total_First_Discount,Avg_First_Discount,Dominant_First_Category,Dominant_Promotion_Type,First_month_min,First_month_max,First_Subsidy_Rate
7425,76,10119799,133155.25,88667.0,1520000,20000.0,Obligation_Payment,voucher,2022-06-04 09:14:57.750,2022-08-18 15:29:21.144,0.15020061169199111
7426,26,5774945,222113.26923076922,184591.0,520000,20000.0,Obligation_Payment,voucher,2022-06-03 19:54:54.456,2022-08-15 15:37:19.697,0.09004414760660058
7427,48,91826530,1913052.7083333333,1518890.0,960000,20000.0,Obligation_Payment,voucher,2022-06-03 16:59:38.010,2022-08-23 08:26:33.747,0.010454495013587032
7428,12,5429000,452416.6666666667,183500.0,360000,30000.0,Obligation_Payment,voucher,2022-06-04 15:50:36.329,2022-07-20 07:47:00.766,0.06631055442991343
7429,2,2193500,1096750.0,1096750.0,50000,25000.0,Obligation_Payment,voucher,2022-06-02 14:03:41.302,2022-08-04 09:38:23.282,0.02279462046956918
7430,72,7552990,104902.63888888889,71875.0,1080000,15000.0,OnDemand_Service,voucher,2022-06-01 12:15:58.475,2022-08-17 19:50:50.721,0.14298972989504818
7431,25,6603526,264141.04,217000.0,250000,10000.0,Goods_Transaction,voucher,2022-06-02 07:16:01.972,2022-08-12 14:49:08.464,0.037858562228724475
7432,1,429000,429000.0,429000.0,20000,20000.0,Goods_Transaction,voucher,2022-07-21 20:13:24.582,2022-07-21 20:13:24.582,0.046620046620046623
7433,51,9669630,189600.58823529413,180000.0,1530000,30000.0,Unknown_Group,voucher,2022-06-01 17:26:28.171,2022-08-04 17:19:32.117,0.15822735719981013
7434,3,207000,69000.0,69000.0,90000,30000.0,Interactive_Service,voucher,2022-06-20 22:59:18.939,2022-07-24 20:43:15.116,0.43478260869565216
7436,5,7441160,1488232.0,1484440.0,500000,100000.0,Mobility_Service,voucher,2022-06-04 16:15:20.487,2022-08-14 09:09:12.231,0.06719382461874224
7437,1,1981240,1981240.0,1981240.0,150000,150000.0,Mobility_Service,voucher,2022-06-22 21:29:37.226,2022-06-22 21:29:37.226,0.07571016131311704
7438,10,33018760,3301876.0,2584140.0,2000000,200000.0,Mobility_Service,voucher,2022-06-02 17:23:16.615,2022-08-21 10:22:05.248,0.060571626554116506
7439,3,226000,75333.33333333333,52000.0,30000,10000.0,Goods_Transaction,voucher,2022-06-01 17:33:49.652,2022-07-11 22:57:37.453,0.13274336283185842
7440,1,67000,67000.0,67000.0,10000,10000.0,Goods_Transaction,voucher,2022-08-05 19:48:49.332,2022-08-05 19:48:49.332,0.14925373134328357
7441,5,2748890,549778.0,408690.0,100000,20000.0,Goods_Transaction,voucher,2022-07-02 09:59:27.721,2022-07-30 12:23:08.781,0.03637831997642685
7444,1,300000,300000.0,300000.0,20000,20000.0,Goods_Transaction,voucher,2022-08-02 23:25:01.840,2022-08-02 23:25:01.840,0.06666666666666667
7447,2,163400,81700.0,81700.0,40000,20000.0,Daily_Consumption,voucher,2022-06-09 10:41:37.139,2022-08-01 14:37:06.882,0.24479804161566707
7450,1,112000,112000.0,112000.0,30000,30000.0,Daily_Consumption,voucher,2022-07-23 18:52:49.245,2022-07-23 18:52:49.245,0.26785714285714285
7559,2,40000,20000.0,20000.0,20000,10000.0,Access_Service,voucher,2022-06-01 10:58:35.171,2022-06-01 19:23:27.284,0.5
7623,809,64792951,80090.17428924599,50000.0,8090000,10000.0,Access_Service,voucher,2022-06-01 02:44:39.394,2022-09-17 19:20:59.677,0.12485926131069412
7624,357,238863333,669084.9663865546,426410.0,8925000,25000.0,Obligation_Payment,voucher,2022-06-01 21:44:52.807,2022-09-11 08:45:25.890,0.03736446229694032
7625,8,10602000,1325250.0,1150000.0,200000,25000.0,Obligation_Payment,voucher,2022-06-03 20:34:37.324,2022-08-09 18:29:26.170,0.018864365214110546
7650,154,1790000,11623.376623376624,10000.0,1386000,9000.0,Access_Service,voucher,2022-06-01 02:44:04.271,2022-07-03 08:55:52.229,0.7743016759776536
7817,631,13100000,20760.69730586371,20000.0,6310000,10000.0,Access_Service,voucher,2022-06-01 21:18:57.578,2022-12-31 18:32:35.195,0.4816793893129771
7818,20,268950,13447.5,10000.0,100000,5000.0,Access_Service,voucher,2022-08-07 12:12:31.882,2022-12-31 19:32:08.700,0.3718163227365681
7819,4,608096,152024.0,160813.0,80000,20000.0,Obligation_Payment,voucher,2022-06-10 19:29:16.530,2022-12-12 20:21:39.794,0.13155817502499606
7820,4,332910,83227.5,78344.5,80000,20000.0,Obligation_Payment,voucher,2022-08-01 09:40:51.488,2022-10-18 21:16:02.905,0.24030518758823707
7821,1,258500,258500.0,258500.0,15000,15000.0,Obligation_Payment,voucher,2022-08-18 15:20:47.342,2022-08-18 15:20:47.342,0.058027079303675046
7824,3,190000,63333.333333333336,56000.0,60000,20000.0,OnDemand_Service,voucher,2022-07-19 20:25:25.723,2022-08-25 20:00:52.372,0.3157894736842105
7825,5,631240,126248.0,100000.0,75000,15000.0,Goods_Transaction,voucher,2022-06-14 13:02:11.270,2022-10-09 21:38:15.174,0.11881376338635068
7826,3,727074,242358.0,222343.0,45000,15000.0,Goods_Transaction,voucher,2022-10-12 15:26:51.145,2022-11-11 16:45:04.543,0.061891911964944424
7828,1,999000,999000.0,999000.0,30000,30000.0,Interactive_Service,voucher,2022-06-04 23:17:53.841,2022-06-04 23:17:53.841,0.03003003003003003
7834,1,442900,442900.0,442900.0,30000,30000.0,Goods_Transaction,voucher,2022-11-17 19:47:03.782,2022-11-17 19:47:03.782,0.06773538044705352
7842,7,350000,50000.0,50000.0,175000,25000.0,Daily_Consumption,voucher,2022-06-14 11:55:31.777,2022-06-15 18:29:43.906,0.5
7847,4,1090000,272500.0,200000.0,40000,10000.0,Interactive_Service,voucher,2022-07-17 12:45:06.870,2022-12-08 07:41:20.695,0.03669724770642202
7880,42,87948565,2094013.4523809524,1629992.0,2100000,50000.0,Obligation_Payment,voucher,2022-06-01 17:20:04.682,2022-07-09 20:19:12.389,0.023877592545142722
7965,26,989798,38069.153846153844,20000.0,260000,10000.0,Access_Service,voucher,2022-06-01 17:15:08.884,2022-06-23 18:12:02.804,0.2626798599310162
7971,1,31200,31200.0,31200.0,15000,15000.0,Daily_Consumption,direct discount,2022-06-14 19:16:48.714,2022-06-14 19:16:48.714,0.4807692307692308
7980,3,268000,89333.33333333333,76000.0,90000,30000.0,OnDemand_Service,voucher,2022-06-01 18:30:33.376,2022-06-05 22:01:44.172,0.3358208955223881
7991,1,59475,59475.0,59475.0,25000,25000.0,Goods_Transaction,voucher,2022-06-10 20:24:13.062,2022-06-10 20:24:13.062,0.4203446826397646
7993,4,50000,12500.0,10000.0,8000,2000.0,Access_Service,voucher,2022-06-02 21:37:22.859,2022-06-19 22:40:25.289,0.16
8063,491,410067988,835169.0183299389,533226.0,24550000,50000.0,Obligation_Payment,voucher,2022-06-02 12:07:46.319,2022-12-31 17:48:16.464,0.059868121185797124
