acquisition_campaignID,NPU_Count,Repeat_Rate,D7_Retention,D30_Retention,D60_Retention,Avg_Post_Tx,Avg_Post_GMV,Avg_Post_Discount,Post_Non_Promo_Tx_Share,Avg_Post_Category_Count,Avg_Post_Merchant_Count
5483,1.0,1.0,1.0,1.0,1.0,3.0,40000.0,9000.0,0.6666666666666666,1.0,1.0
5489,1.0,1.0,1.0,1.0,1.0,3.0,688343.0,65000.0,0.0,1.0,2.0
5736,20.0,0.45,0.25,0.4,0.4444444444444444,3.35,109385.1,2985.0,0.5074626865671642,0.6,0.8
6306,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6311,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6312,12.0,0.5,0.16666666666666666,0.5,0.5454545454545454,0.6666666666666666,158978.25,0.0,1.0,0.5,0.5
6313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6580,50.0,0.04,0.02,0.02,0.02,0.18,61337.6,1200.0,0.5555555555555556,0.06,0.12
6581,4.0,0.5,0.5,0.5,0.5,3.75,457398.25,32500.0,0.3333333333333333,1.0,1.0
6589,3.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,11.0,14743470.666666666,102333.33333333333,0.12121212121212122,1.6666666666666667,2.3333333333333335
6685,28.0,0.8214285714285714,0.32142857142857145,0.5714285714285714,0.75,5.821428571428571,1069002.5357142857,12892.857142857143,0.8834355828220859,1.5714285714285714,1.8928571428571428
6811,26.0,0.6538461538461539,0.23076923076923078,0.4230769230769231,0.5384615384615384,7.615384615384615,620192.8076923077,43961.153846153844,0.6919191919191919,1.5,2.0
7048,18.0,1.0,0.6111111111111112,0.8888888888888888,1.0,34.166666666666664,1143169.111111111,74553.88888888889,0.8357723577235773,1.7222222222222223,3.9444444444444446
7049,62.0,0.8870967741935484,0.3548387096774194,0.6774193548387096,0.8225806451612904,10.225806451612904,2996817.080645161,23691.25806451613,0.8485804416403786,1.6612903225806452,2.8225806451612905
7050,32.0,0.90625,0.25,0.65625,0.875,11.34375,3369127.40625,25312.5,0.8484848484848485,1.6875,2.53125
7052,63.0,0.6666666666666666,0.20634920634920634,0.4603174603174603,0.49206349206349204,5.746031746031746,1951018.873015873,11126.984126984127,0.8674033149171271,1.2698412698412698,1.5873015873015872
7053,13.0,0.7692307692307693,0.38461538461538464,0.5384615384615384,0.6153846153846154,4.230769230769231,375534.1538461539,22000.0,0.6727272727272727,1.1538461538461537,1.3846153846153846
7054,60.0,0.6333333333333333,0.18333333333333332,0.4166666666666667,0.55,3.716666666666667,628722.0833333334,22233.333333333332,0.7533632286995515,1.1666666666666667,1.5166666666666666
7059,2.0,1.0,0.5,1.0,1.0,3.0,1584604.5,35000.0,0.5,2.0,2.0
7060,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,1128000.0,98333.33333333333,0.0,1.3333333333333333,1.6666666666666667
7062,2.0,1.0,0.5,0.5,0.5,7.0,2836775.5,42500.0,0.7142857142857143,1.5,2.5
7066,1.0,1.0,1.0,1.0,1.0,1.0,22000.0,0.0,1.0,1.0,1.0
7067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7068,4.0,1.0,0.25,0.5,0.5,8.5,393824.25,24500.0,0.6176470588235294,2.0,3.5
7069,1.0,1.0,1.0,1.0,1.0,1.0,110000.0,0.0,1.0,1.0,1.0
7075,3.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,6.333333333333333,457694.0,78666.66666666667,0.3684210526315789,1.3333333333333333,2.3333333333333335
7077,2.0,0.5,0.0,0.0,0.0,1.0,600500.0,495.0,0.5,1.0,1.0
7080,1.0,1.0,0.0,0.0,0.0,1.0,38200.0,10000.0,0.0,1.0,1.0
7289,543.0,0.5911602209944752,0.31860036832412525,0.48987108655616945,0.5340699815837937,4.858195211786372,319352.8968692449,9331.252302025783,0.7657316148597423,1.003683241252302,1.5267034990791897
7421,1355.0,0.5911439114391144,0.25313653136531367,0.444280442804428,0.5151291512915129,9.12619926199262,1146210.6974169742,15502.311439114392,0.8541969917515769,0.9461254612546125,1.4228782287822879
7422,536.0,0.458955223880597,0.19402985074626866,0.3208955223880597,0.38619402985074625,8.345149253731343,489585.25373134325,13758.371268656716,0.8694388553543483,0.7910447761194029,1.2220149253731343
7423,44.0,0.8181818181818182,0.36363636363636365,0.6363636363636364,0.75,9.840909090909092,520035.5227272727,14885.227272727272,0.8314087759815243,1.25,1.9772727272727273
7424,434.0,0.5875576036866359,0.17511520737327188,0.4308755760368664,0.5161290322580645,5.414746543778802,1778044.6221198156,15046.912442396313,0.7625531914893617,1.076036866359447,1.4838709677419355
7425,76.0,0.6578947368421053,0.32894736842105265,0.5263157894736842,0.5921052631578947,6.052631578947368,1486820.8421052631,30513.157894736843,0.6891304347826087,1.381578947368421,2.3157894736842106
7426,26.0,0.5769230769230769,0.3076923076923077,0.5,0.5769230769230769,5.230769230769231,1177728.076923077,20576.923076923078,0.7352941176470589,1.0384615384615385,1.5769230769230769
7427,48.0,0.75,0.22916666666666666,0.5833333333333334,0.7291666666666666,11.25,7816953.395833333,19350.625,0.8703703703703703,1.2916666666666667,1.9375
7428,12.0,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.8333333333333334,129006.83333333333,2083.3333333333335,0.7,0.25,0.25
7429,2.0,1.0,0.0,0.5,1.0,10.0,6169685.5,32500.0,0.85,1.5,2.0
7430,72.0,0.8888888888888888,0.5555555555555556,0.7083333333333334,0.8055555555555556,10.180555555555555,1273926.0555555555,21027.777777777777,0.8635743519781719,1.75,2.138888888888889
7431,25.0,0.64,0.28,0.56,0.56,4.16,462452.68,17742.4,0.7403846153846154,1.2,1.52
7432,1.0,1.0,1.0,1.0,1.0,17.0,2447756.0,130000.0,0.47058823529411764,3.0,7.0
7433,51.0,0.6862745098039216,0.3333333333333333,0.5098039215686274,0.5686274509803921,4.470588235294118,920036.5490196078,44646.64705882353,0.5833333333333334,1.6274509803921569,2.196078431372549
7434,3.0,1.0,0.6666666666666666,1.0,1.0,3.6666666666666665,1180868.3333333333,22666.666666666668,0.8181818181818182,1.6666666666666667,2.3333333333333335
7436,5.0,0.4,0.0,0.4,0.4,6.2,110930.0,3000.0,0.9354838709677419,0.4,0.6
7437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7438,10.0,0.8,0.3,0.5,0.5,20.5,3025770.8,39800.0,0.9121951219512195,1.4,2.3
7439,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,5.0,189373.33333333334,3333.3333333333335,0.9333333333333333,2.0,2.3333333333333335
7440,1.0,1.0,1.0,1.0,1.0,6.0,277473.0,60000.0,0.16666666666666666,2.0,3.0
7441,5.0,1.0,0.4,0.6,0.8,14.4,4893705.6,106594.0,0.4305555555555556,2.8,5.4
7444,1.0,1.0,1.0,1.0,1.0,62.0,15396009.0,529000.0,0.41935483870967744,4.0,14.0
7447,2.0,1.0,0.5,0.5,0.5,2.5,162000.0,15000.0,0.6,2.0,2.0
7450,1.0,1.0,1.0,1.0,1.0,31.0,8177100.0,208980.0,0.4838709677419355,4.0,6.0
7559,2.0,1.0,1.0,1.0,1.0,17.5,1043000.0,14499.5,0.8857142857142857,2.0,4.0
7623,809.0,0.7737948084054388,0.3547589616810878,0.6044499381953028,0.6996291718170581,12.99876390605686,1916119.3819530285,14664.064276885043,0.9136553822746292,1.3028430160692213,1.9369592088998764
7624,357.0,0.8571428571428571,0.19327731092436976,0.6050420168067226,0.7478991596638656,7.988795518207283,2832730.168067227,15827.675070028012,0.8316970546984572,1.4341736694677871,1.9803921568627452
7625,8.0,0.75,0.25,0.75,0.75,14.625,7921412.0,24125.0,0.8717948717948718,1.5,2.625
7650,154.0,0.5909090909090909,0.22727272727272727,0.38961038961038963,0.4805194805194805,6.097402597402597,226806.37662337662,12327.642857142857,0.7550585729499467,0.948051948051948,1.448051948051948
7817,631.0,0.3866877971473851,0.2019704433497537,0.3120567375886525,0.3510848126232742,2.324881141045959,209017.48177496038,6620.7115689381935,0.7416496250852079,0.6006339144215531,0.901743264659271
7818,20.0,0.35,0.21052631578947367,0.3125,0.2857142857142857,1.1,31050.0,1500.0,0.8181818181818182,0.45,0.55
7819,4.0,0.75,0.5,1.0,1.0,4.0,373197.5,33750.0,0.3125,2.0,3.25
7820,4.0,1.0,0.5,1.0,1.0,14.25,8968924.0,75000.0,0.6842105263157895,2.5,4.0
7821,1.0,1.0,1.0,1.0,1.0,42.0,1049555.0,10000.0,0.9761904761904762,2.0,2.0
7824,3.0,1.0,0.6666666666666666,1.0,1.0,13.0,1195810.0,13333.333333333334,0.9230769230769231,1.6666666666666667,2.3333333333333335
7825,5.0,0.2,0.0,0.0,0.2,0.2,2000.0,0.0,1.0,0.2,0.2
7826,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,5.666666666666667,1075958.0,11666.666666666666,0.8235294117647058,1.3333333333333333,2.0
7828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7834,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7842,7.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,34500.0,5000.0,0.5,0.2857142857142857,0.2857142857142857
7847,4.0,1.0,0.75,0.6666666666666666,1.0,12.75,1359350.0,4925.0,0.9607843137254902,1.25,2.0
7880,42.0,0.8809523809523809,0.14285714285714285,0.6666666666666666,0.8333333333333334,12.380952380952381,8837915.714285715,15999.214285714286,0.9,1.5238095238095237,2.5714285714285716
7965,26.0,0.8461538461538461,0.4230769230769231,0.7307692307692307,0.8076923076923077,21.807692307692307,2476010.6923076925,50916.53846153846,0.8024691358024691,1.7692307692307692,2.923076923076923
7971,1.0,1.0,0.0,0.0,0.0,1.0,40500.0,0.0,1.0,1.0,1.0
7980,3.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,164616.66666666666,0.0,1.0,0.3333333333333333,0.3333333333333333
7991,1.0,1.0,1.0,1.0,1.0,16.0,2042410.0,242000.0,0.0,3.0,4.0
7993,4.0,0.5,0.25,0.25,0.5,1.25,8575.0,2750.0,0.6,0.75,1.0
8063,491.0,0.6802443991853361,0.1694560669456067,0.5352798053527981,0.7437722419928826,3.684317718940937,1917732.6252545824,10532.468431771895,0.7822001105583195,1.0224032586558045,1.3319755600814664
8064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8069,68.0,0.2647058823529412,0.07352941176470588,0.17647058823529413,0.2647058823529412,2.073529411764706,1089332.1911764706,10058.823529411764,0.6737588652482269,0.4411764705882353,0.6764705882352942
8113,162.0,0.6296296296296297,0.2716049382716049,0.4382716049382716,0.4876543209876543,10.185185185185185,744072.0987654321,21437.345679012345,0.8406060606060606,1.1049382716049383,1.7530864197530864
8120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8126,80.0,0.7875,0.3875,0.55,0.6375,14.55,1785256.75,33886.45,0.8264604810996563,1.5625,2.4625
8177,1.0,1.0,1.0,1.0,1.0,1.0,77526.0,20000.0,0.0,1.0,1.0
8182,4.0,0.75,0.5,0.75,0.75,16.25,4446126.5,55000.0,0.8615384615384616,2.0,2.75
8201,1.0,1.0,1.0,1.0,1.0,8.0,1945484.0,112000.0,0.25,3.0,4.0
8202,1251.0,0.5459632294164668,0.2733812949640288,0.3876898481215028,0.4404476418864908,5.709832134292566,573412.1398880895,27706.181454836133,0.6686266274674506,1.008792965627498,1.5107913669064748
8203,85.0,0.7294117647058823,0.38823529411764707,0.5176470588235295,0.5647058823529412,4.905882352941177,299488.7411764706,41227.635294117645,0.5635491606714629,1.1647058823529413,1.7294117647058824
8205,50.0,0.62,0.26,0.44,0.48,3.08,222422.52,28439.38,0.35714285714285715,1.06,1.44
